position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1583,18 Wheels of Steel: Big City Rigs,PC,ValuSoft  ,ValuSoft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Apr 09  ,N/A
1584,18 Wheels of Steel: Gold Edition,PC,Rondomedia  ,Various  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jan 09  ,N/A
1585,18 Wheels of Steel: Pedal to the Metal,PC,ValuSoft  ,SCS Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Aug 04  ,N/A
1586,1nsane,PC,Codemasters  ,Codemasters  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Feb 01  ,N/A
1587,2060 Cyber Racer,XBL,Microsoft  ,R3dDr4g0n  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Jun 09  ,N/A
1588,2XL MX Offroad,iOS,Unknown  ,"2XL Games, Inc.  ",8.0  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1589,2XL Supercross,PC,2XL Games  ,2XL Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Apr 10  ,N/A
1590,"3,2,1... SuperCrash!",PSN,StormBASIC  ,StormBasic Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Nov 10  ,N/A
1591,360: Three Sixty,PS,Cryo Interactive  ,Smart Dog  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Jul 99  ,N/A
1592,3D Classics: Excite Bike,3DS,Unknown  ,Arika  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1593,3D Classics: Excitebike,3DS,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Jun 11  ,N/A
1594,4 Wheel Thunder,DC,Midway Games  ,Kalisto  ,N/A  ,8.1  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th May 00  ,N/A
1595,4x4 EVO 2,PC,Gathering of Developers  ,Terminal Reality  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 01  ,N/A
1596,4x4 EVO 2,PS2,BAM! Entertainment  ,Terminal Reality  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 03  ,N/A
1597,4x4 Evolution,DC,Gathering of Developers  ,Terminal Reality  ,N/A  ,7.9  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Oct 00  ,N/A
1598,4x4 Evolution,PC,Gathering of Developers  ,Terminal Reality  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Oct 00  ,N/A
1599,4x4 Jam,PSN,Unknown  ,Invictus Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jun 10  ,N/A
1600,4X4 World Trophy,PS,Infogrames  ,Infogrames  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Apr 00  ,N/A
1601,5 Star Racing,PS,Phoenix Games  ,Kung Fu  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 03  ,N/A
1602,A.I.M. Racing,PC,1C Company  ,SkyRiver Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Feb 07  ,N/A
1603,A2 racer,PC,Davilex  ,Davilex  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
1604,A2 Racer 2,PC,Davilex  ,Davilex  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 98  ,N/A
1605,A2 Racer 3,PC,Davilex  ,Davilex  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 00  ,N/A
1606,A2 Racer II,PS,Davilex  ,Davilex  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 98  ,N/A
1607,A2 Racer III: Europa Tour,PS,Davilex  ,Davilex  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 02  ,N/A
1608,ABC Sports Indy Racing,PC,Unknown  ,Shot Sports Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
1609,Action Girlz Racing,PC,Metro 3D  ,Data Design Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Jul 05  ,N/A
1610,Action Girlz Racing,PS2,Metro 3D  ,Data Design Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Sep 05  ,N/A
1611,Advan Racing,PS,Atlus  ,Atlus Co.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Nov 98  ,N/A
1612,Aero Racer,PSN,Halfbrick Studios  ,Halfbrick Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Mar 10  ,N/A
1613,Aero-Cross,PSN,Unknown  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1614,Aero-Cross,XBL,Unknown  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1615,Air Combat: Desert Aces,XBL,Microsoft  ,Strange Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 11  ,N/A
1616,AiRace,DSiW,Qubic Games  ,No Way Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,12th Apr 10  ,N/A
1617,AiRace: Tunnel,DSiW,Qubic Games  ,No Way Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Jan 10  ,N/A
1618,AirBoarder 64,N64,GMI  ,Human Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 98  ,N/A
1619,Aircars,AJ,ICD  ,"Midnite Entertainment Group, Inc.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 97  ,N/A
1620,AirRace Championship,PS,Xing Entertainment  ,Xing Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Mar 99  ,N/A
1621,Al Unser Jr. Turbo Racing,NES,Data East  ,Data East  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 90  ,N/A
