position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
884,This Is the Police 2,PS4,THQ Nordic  ,Weappy Studio  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,25th Sep 18  ,24th Mar 19
885,No Heroes Allowed! VR,PS4,Sony Interactive Entertainment  ,Acquire  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,17th Oct 17  ,10th Jan 18
886,Command & Conquer 3: Deluxe Edition,PC,Electronic Arts  ,EA Los Angeles  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,26th Sep 08  ,N/A
887,Command & Conquer: The First Decade,PC,Electronic Arts  ,EA Los Angeles\ Westwood Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.01m,0.01m,N/A,0.00m,07th Feb 06  ,N/A
888,T.A.C. Heroes : Big Red One,DS,Storm City Games  ,Storm City Games  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,16th Mar 10  ,N/A
889,The Lord of the Rings: The Battle for Middle-Earth II,PC,Electronic Arts  ,EA Los Angeles  ,N/A  ,8.2  ,N/A  ,N/A,0.02m,0.01m,0.01m,N/A,0.00m,02nd Mar 06  ,N/A
890,ArmaGallant: Decks of Destiny,PS4,Maximum Games  ,RockNanoGlobal  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,04th Apr 17  ,17th Sep 18
891,Order of War,PC,Square Enix  ,Wargaming.net  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.00m,0.01m,N/A,0.00m,22nd Sep 09  ,N/A
892,Oil Rush,PC,Unknown  ,Unigine Corp  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,25th Jan 12  ,N/A
893,Chuugen no Hasha: Sangoku Shouseiden,PSP,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,09th Feb 06  ,N/A
894,Stormrise,PC,Sega  ,The Creative Assembly  ,3.1  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,24th Mar 09  ,N/A
895,Armello,PS4,League of Geeks  ,League of Geeks  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,13th Mar 18  ,21st Sep 18
896,Worms,PSN,Sony Computer Entertainment  ,Team17 Software  ,6.8  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,26th Mar 09  ,N/A
897,Maximum Capacity: Hotel Giant,PC,JoWood Productions  ,Enlight Software Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,24th Jun 02  ,N/A
898,This Is the Police 2,XOne,THQ Nordic  ,Weappy Studio  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,25th Sep 18  ,24th Mar 19
899,Defendin' De Penguin,DS,Crave Entertainment  ,Crave Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,02nd Sep 08  ,N/A
900,War Leaders: Clash of Nations,PC,CDV Software Entertainment  ,Enigma Software Productions  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,27th Feb 09  ,N/A
901,Virtual Kasparov,GBA,Titus  ,Titus Software  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.01m,0.01m,N/A,0.00m,31st Mar 02  ,N/A
902,Roadwar Europa,All,Strategic Simulations  ,Strategic Simulations  ,N/A  ,N/A  ,N/A  ,0.02m,N/A,N/A,N/A,N/A,N/A,01st Jan 87  ,25th Mar 21
903,UFO: Trilogy,PC,Unknown  ,Altar Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,24th Aug 07  ,N/A
904,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,Konami  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,08th Jan 08  ,N/A
905,Trapped Dead,PC,Meridian4  ,Headup Games / Crenetic  ,N/A  ,4.0  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,25th Feb 11  ,N/A
906,Space Hulk Tactics,XOne,Focus Home Interactive  ,Cyanide  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,09th Oct 18  ,28th Jun 18
907,WorldShift,PC,Playlogic Game Factory  ,Black Sea Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,10th Nov 09  ,N/A
908,Tycoon City: New York,PC,Atari  ,Deep Red  ,N/A  ,6.2  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,21st Feb 06  ,N/A
909,Halo Wars 2,PC,THQ Nordic  ,Creative Assembly  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,21st Feb 17  ,27th Sep 18
910,"Warhammer 40,000: Dawn of War: Soulstorm",PC,THQ  ,Iron Lore Entertainment  ,N/A  ,6.9  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,04th Mar 08  ,N/A
911,Dungeons 3,XOne,Kalypso Media  ,Realmforge Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,17th Oct 17  ,03rd Mar 18
912,Seinaru Kana: Orichalcum no Na no Motoni,PSP,CyberFront  ,Xuse  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,19th Apr 12  ,17th May 19
913,Nobunaga no Yabou: Soutensoku with Power-Up Kit,PSP,Tecmo Koei  ,Tecmo Koei Games  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,04th Aug 11  ,N/A
914,Commandos 3: Destination Berlin,PC,Eidos Interactive  ,Pyro Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,14th Oct 03  ,N/A
915,Machi-ing Maker 4,PS3,D3 Publisher  ,D3  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,23rd Nov 11  ,N/A
916,Blackguards 2,XOne,Kalypso Media  ,Daedalic Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.02m,N/A,N/A,0.00m,19th Sep 17  ,15th Sep 18
917,Ultraman All-Star Chronicle,PSP,Namco Bandai Games  ,Bandai Namco Games  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,07th Mar 13  ,17th May 19
918,Dungeons - The Dark Lord,PC,Kalypso  ,Kalypso  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.00m,0.01m,N/A,0.00m,27th Sep 11  ,N/A
919,Goblin Commander: Unleash the Horde,GC,Jaleco  ,Jaleco Entertainment  ,N/A  ,7.4  ,N/A  ,N/A,0.02m,0.01m,0.00m,N/A,0.00m,16th Dec 03  ,N/A
920,Strike Witches: Shirogane no Tsubasa,X360,CyberFront  ,CyberFront  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,29th Jul 10  ,N/A
921,Command & Conquer 3: Kane's Wrath,PC,Electronic Arts  ,EA Los Angeles  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,24th Mar 08  ,N/A
922,Command & Conquer Collection,PC,Electronic Arts  ,EA Los Angeles  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.01m,0.00m,N/A,0.00m,31st Oct 03  ,N/A
923,Elven Legacy Collection,PC,Paradox Interactive   ,1C:Ino-Co  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.01m,N/A,0.00m,09th Jul 10  ,N/A
924,Disciples III: Renaissance,PC,Kalypso  ,Akella  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.01m,N/A,0.00m,13th Jul 10  ,N/A
925,Total War Attila: Tyrants & Kings,PC,Koch Media  ,Creative Assembly  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.02m,N/A,0.00m,18th Mar 16  ,02nd Feb 18
926,San Goku Shi DS 2,DS,KOEI  ,Koei  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,01st Nov 07  ,N/A
927,Majesty 2: The Fantasy Kingdom Sim,PC,Paradox Interactive   ,Ino-Co / 1C Company  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.01m,N/A,N/A,0.00m,15th Sep 09  ,01st Jan 19
928,Romance of the Three Kingdoms XII,WiiU,Tecmo Koei  ,Tecmo Koei Games  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,13th Dec 12  ,30th Jul 18
929,Future Card Buddyfight: Tanjou! Oretachi no Saikyou Body!,3DS,FuRyu Corporation  ,FuRyu  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,15th Mar 18  ,04th Aug 18
930,Tennis no Oji-Sama: Card Hunter,PS2,Konami  ,WinkySoft  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,N/A,0.02m,N/A,22nd Feb 07  ,N/A
931,Achtung Panzer: Kharkov 1943,PC,Paradox Interactive   ,Paradox Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.01m,N/A,0.00m,25th Feb 10  ,N/A
932,RollerCoaster Tycoon: Gold Edition,PC,Infogrames  ,Infogrames  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.01m,N/A,N/A,0.00m,30th May 02  ,N/A
933,Lock's Quest,XOne,THQ Nordic  ,5TH Cell  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,0.01m,N/A,N/A,0.00m,30th May 17  ,11th Sep 18
934,Majesty 2 Collection,PC,Paradox Interactive   ,1C:Ino-Co  ,N/A  ,N/A  ,N/A  ,N/A,0.02m,N/A,0.01m,N/A,0.00m,19th Apr 11  ,N/A
