position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1044,Dragon's Dogma: Dark Arisen,PS4,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,0.21m,0.07m,0.07m,0.03m,0.03m,03rd Oct 17  ,22nd Mar 19
1045,Shin Megami Tensei: Persona 3 (jp sales),PS2,Atlus  ,Atlus Co.  ,N/A  ,N/A  ,N/A  ,N/A,0.21m,N/A,N/A,0.21m,N/A,14th Aug 07  ,N/A
1046,The Lord of the Rings: War in the North,PC,Warner Bros. Interactive  ,Snowblind Studios  ,N/A  ,6.5  ,N/A  ,N/A,0.21m,0.07m,0.11m,N/A,0.03m,01st Nov 11  ,N/A
1047,Dragon Quest Monsters: Joker 3 - Professional,3DS,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,09th Feb 17  ,N/A
1048,Kingdom Hearts: The Story So Far,PS4,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.17m,N/A,N/A,0.04m,30th Oct 18  ,07th Oct 18
1049,Data Hacker: Corruption,PC,Unknown  ,New Reality Games  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,N/A  ,25th Feb 19
1050,EVE Online,PC,Simon & Schuster Interactive  ,CCP  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,0.19m,N/A,0.01m,06th May 03  ,N/A
1051,Skyborn,PC,Unknown  ,Dancing Dragon Games  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,N/A  ,26th Feb 19
1052,Pillars of Eternity II: Deadfire,PC,Versus Evil  ,Obsidian Entertainment  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,31st Dec 18  ,11th Jan 18
1053,Phantasy Star Online,DC,Sega  ,Sonic Team  ,N/A  ,8.9  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,29th Jan 01  ,N/A
1054,Secret Of Magia,PC,Unknown  ,EQ-Games  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,N/A  ,26th Feb 19
1055,Shining Blade,PSP,Sega  ,Media.Vision  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,15th Mar 12  ,02nd Nov 18
1056,Enchanted Arms,PS3,Ubisoft  ,From Software  ,N/A  ,5.9  ,N/A  ,N/A,0.20m,0.17m,0.01m,N/A,0.02m,03rd Apr 07  ,N/A
1057,Summon Night 4,PS2,Banpresto  ,Flight-Plan  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,30th Nov 06  ,N/A
1058,Dragon Ball Z: Harukanaru Densetsu,DS,Atari  ,Bec  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.19m,N/A,N/A,0.02m,05th Jun 07  ,N/A
1059,Dark Messiah of Might and Magic Elements,X360,Ubisoft  ,Arkane Studios / Floodgate Entertainment / Kuju Entertainment  ,N/A  ,5.0  ,N/A  ,N/A,0.20m,0.16m,0.02m,0.01m,0.02m,12th Feb 08  ,N/A
1060,Infinite Space,DS,Sega  ,PlatinumGames / Nude Maker  ,N/A  ,7.2  ,N/A  ,N/A,0.20m,0.06m,0.05m,0.07m,0.01m,16th Mar 10  ,N/A
1061,7th Dragon 2020,PSP,Sega  ,imageepoch Inc.  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,23rd Nov 11  ,N/A
1062,Ogre Battle Saga Episode Five: The March of the Black Queen,PS,Atlus  ,Quest Corporation  ,N/A  ,7.6  ,N/A  ,N/A,0.20m,0.06m,0.04m,0.09m,0.01m,31st Jul 97  ,N/A
1063,The Legend of Heroes: Ao no Kiseki,PSP,Falcom Corporation  ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,29th Sep 11  ,N/A
1064,Atelier Sophie 2: The Alchemist of the Mysterious Dream,All,Koei Tecmo  ,Gust  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,25th Feb 22  ,11th May 22
1065,Blue Reflection,Series,Koei Tecmo  ,Gust  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,26th Sep 17  ,28th Feb 22
1066,Digimon World DS,DS,Namco Bandai  ,Namco Bandai Games America  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,07th Nov 06  ,N/A
1067,Disgaea 5 Complete,NS,NIS America  ,Nippon Ichi Software  ,N/A  ,9.0  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,23rd May 17  ,25th Feb 18
1068,Gothic,PC,Xicat Interactive  ,Piranha Bytes  ,N/A  ,8.1  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,23rd Nov 01  ,N/A
1069,Gothic II,PC,Atari  ,Piranha Bytes  ,N/A  ,8.0  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,28th Oct 03  ,N/A
1070,Phantasy Star Universe,PS2,Sega  ,Sonic Team  ,N/A  ,6.4  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,24th Oct 06  ,N/A
1071,Romancing SaGa 2,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,10th Dec 93  ,20th Feb 21
1072,Toukiden Kiwami,All,Koei Tecmo  ,Omega Force  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,26th Jun 15  ,05th Feb 21
1073,Wizardry: Proving Grounds of the Mad Overlord,All,Sirtech  ,Sir-Tech  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,01st Sep 81  ,06th Apr 21
1074,Shining Hearts,PSP,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,16th Dec 10  ,N/A
1075,Marvel: Ultimate Alliance 2,DS,Activision  ,n-Space  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.16m,0.03m,N/A,0.02m,15th Sep 09  ,N/A
1076,Treasure Hunter G,SNES,Square  ,Sting  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,24th May 96  ,N/A
1077,Record of Agarest War,X360,Aksys Games  ,Compile Heart  ,N/A  ,7.0  ,N/A  ,N/A,0.20m,0.18m,N/A,0.01m,0.01m,27th Apr 10  ,N/A
1078,Grandia II,DC,Ubisoft  ,Game Arts  ,N/A  ,8.6  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,0.00m,06th Dec 00  ,N/A
1079,Untold Legends: Dark Kingdom,PS3,Sony Online Entertainment  ,Sony Online Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.14m,0.02m,0.02m,0.02m,13th Nov 06  ,16th Sep 18
1080,Bleach: The 3rd Phantom,DS,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.10m,0.02m,0.07m,0.01m,15th Sep 09  ,N/A
1081,Solatorobo: Red the Hunter,DS,Xseed Games  ,CyberConnect2  ,N/A  ,7.6  ,N/A  ,N/A,0.20m,0.08m,0.04m,0.07m,0.01m,27th Sep 11  ,N/A
1082,Ore no Shikabane o Koete Yuke,PSP,Sony Computer Entertainment  ,TBA  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,N/A,N/A,0.20m,N/A,10th Nov 11  ,N/A
1083,Shin Megami Tensei: Strange Journey Redux,3DS,Atlus  ,Atlus  ,8.0  ,N/A  ,N/A  ,N/A,0.20m,0.08m,0.01m,0.10m,0.01m,15th May 18  ,22nd Jun 18
1084,Labyronia RPG 2,PC,Unknown  ,Labyrinthine  ,N/A  ,N/A  ,N/A  ,0.20m,N/A,N/A,N/A,N/A,N/A,N/A  ,27th Feb 19
1085,Baldur's Gate: Dark Alliance,XB,Interplay  ,Snowblind Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.20m,0.15m,0.04m,N/A,0.01m,22nd Oct 02  ,N/A
1086,Mana Khemia 2: Fall of Alchemy,PS2,NIS America  ,Gust  ,7.5  ,8.2  ,N/A  ,N/A,0.20m,0.07m,0.05m,0.05m,0.02m,25th Aug 09  ,N/A
1087,The Hobbit,GBA,Sierra Entertainment  ,Saffire Corporation  ,N/A  ,6.5  ,N/A  ,N/A,0.19m,0.14m,0.05m,N/A,0.00m,11th Nov 03  ,N/A
1088,Odin Sphere: Leifthrasir,PSV,Atlus  ,Vanillaware  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.05m,0.02m,0.10m,0.02m,07th Jun 16  ,N/A
1089,Rune Factory: Tides of Destiny,Wii,Natsume  ,Neverland Company  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.13m,N/A,0.06m,0.01m,11th Oct 11  ,N/A
1090,Spectrobes: Origins,Wii,Disney Interactive Studios  ,Genki  ,N/A  ,7.4  ,N/A  ,N/A,0.19m,0.16m,0.02m,N/A,0.01m,18th Aug 09  ,N/A
1091,Breath of Fire II,GBA,Capcom  ,Capcom  ,N/A  ,8.6  ,N/A  ,N/A,0.19m,0.14m,0.05m,N/A,0.00m,16th Apr 02  ,N/A
1092,Agarest: Generations of War,PC,Unknown  ,Idea Factory  ,N/A  ,N/A  ,N/A  ,0.19m,N/A,N/A,N/A,N/A,N/A,N/A  ,28th Feb 19
1093,Sword of the Stars: The Pit,PC,Unknown  ,Kerberos Productions Inc.  ,N/A  ,N/A  ,N/A  ,0.19m,N/A,N/A,N/A,N/A,N/A,N/A  ,28th Feb 19
1094,Shiren the Wanderer,Wii,Atlus  ,ChunSoft  ,N/A  ,7.4  ,N/A  ,N/A,0.19m,0.08m,N/A,0.11m,0.01m,09th Feb 10  ,N/A
1095,Breath of Fire: Dragon Quarter,PS2,Capcom  ,Capcom  ,N/A  ,7.6  ,N/A  ,N/A,0.19m,0.09m,0.07m,N/A,0.02m,16th Feb 03  ,N/A
1096,Enchanted Arms,X360,Ubisoft  ,From Software  ,N/A  ,6.9  ,N/A  ,N/A,0.19m,0.16m,0.02m,N/A,0.01m,29th Aug 06  ,N/A
1097,South Park: The Stick of Truth,PC,Ubisoft  ,Obsidian Entertainment  ,8.0  ,N/A  ,N/A  ,N/A,0.19m,0.07m,0.10m,N/A,0.02m,04th Mar 14  ,26th Jan 18
1098,Final Fantasy XI: Online,X360,Square Enix  ,Square Enix  ,N/A  ,6.7  ,N/A  ,N/A,0.19m,0.17m,0.01m,N/A,0.01m,18th Apr 06  ,N/A
1099,NeverEnd,PC,DreamCatcher Interactive  ,Mayhem Studios  ,N/A  ,N/A  ,N/A  ,0.19m,N/A,N/A,N/A,N/A,N/A,02nd Oct 06  ,N/A
1100,Project X Zone 2,3DS,Namco Bandai Games  ,Monolith Soft  ,N/A  ,6.6  ,N/A  ,N/A,0.19m,0.06m,0.04m,0.09m,0.01m,16th Feb 16  ,14th Jun 18
1101,Sudeki,XB,Microsoft Game Studios  ,Climax Group  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.14m,0.04m,N/A,0.01m,20th Jul 04  ,25th Sep 18
1102,Dragon Ball Z: Attack of the Saiyans,DS,Namco Bandai  ,Monolith Soft  ,6.5  ,7.2  ,N/A  ,0.19m,N/A,N/A,N/A,N/A,N/A,10th Nov 09  ,N/A
1103,Valkyrie Profile: Lenneth,PSP,Square Enix  ,tri-Ace  ,N/A  ,8.1  ,N/A  ,0.19m,N/A,N/A,N/A,N/A,N/A,18th Jul 06  ,N/A
1104,Lunar Legend,GBA,Ubisoft  ,Magic Rings  ,N/A  ,7.7  ,N/A  ,N/A,0.19m,0.14m,0.05m,N/A,0.00m,08th Dec 02  ,N/A
1105,Fairy Fencer F,PS3,NIS America  ,Compile Heart  ,6.8  ,N/A  ,N/A  ,N/A,0.19m,0.05m,0.03m,0.09m,0.02m,16th Sep 14  ,04th Nov 18
1106,God Eater 3,PS4,Bandai Namco Entertainment  ,Bandai Namco Studios  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,N/A,N/A,0.19m,N/A,08th Feb 19  ,19th Dec 18
1107,Risen,X360,Deep Silver  ,Piranha Bytes  ,N/A  ,5.9  ,N/A  ,N/A,0.19m,0.07m,0.11m,N/A,0.01m,23rd Feb 10  ,N/A
1108,Nostalgia,DS,Ignition Entertainment  ,Matrix Software / RED Entertainment  ,8.2  ,7.2  ,N/A  ,N/A,0.19m,0.16m,N/A,0.02m,0.01m,27th Oct 09  ,N/A
1109,Tokyo Xanadu,PSV,Aksys Games  ,Nihon Falcom Corporation  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.02m,N/A,0.16m,0.01m,30th Jun 17  ,25th Jun 18
1110,Little Battlers eXperience W,PSP,Level 5  ,Level 5  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,N/A,N/A,0.19m,N/A,18th Oct 12  ,31st Aug 18
1111,La Pucelle: Tactics,PS2,Mastiff  ,Nippon Ichi Software  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.09m,0.07m,N/A,0.02m,04th May 04  ,N/A
1112,EverQuest Online Adventures: Frontiers,PS2,Sony Online Entertainment  ,Sony Online Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.19m,0.09m,0.07m,N/A,0.02m,17th Nov 03  ,N/A
1113,Phantasy Star Online Ver. 2,DC,Sega  ,Sonic Team  ,N/A  ,8.3  ,N/A  ,N/A,0.19m,N/A,N/A,0.19m,0.00m,24th Sep 01  ,N/A
1114,Arcania: Gothic 4,PC,JoWood Productions  ,Spellbound Entertainment AG  ,N/A  ,5.8  ,N/A  ,N/A,0.18m,0.09m,0.08m,N/A,0.02m,19th Oct 10  ,N/A
