position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
146,Dying Light,PS4,Warner Bros. Interactive  ,Techland  ,8.0  ,N/A  ,N/A  ,N/A,2.45m,1.18m,0.74m,0.13m,0.40m,27th Jan 15  ,04th May 18
147,God of War Collection,PS3,Sony Computer Entertainment  ,Bluepoint Games  ,9.0  ,9.2  ,N/A  ,2.42m,N/A,N/A,N/A,N/A,N/A,17th Nov 09  ,N/A
148,Dino Crisis,PS,Capcom  ,Capcom Production Studio 4  ,N/A  ,8.9  ,N/A  ,2.40m,N/A,N/A,N/A,N/A,N/A,31st Aug 99  ,N/A
149,Dead Island,X360,Deep Silver  ,Techland  ,8.0  ,7.0  ,N/A  ,N/A,2.38m,1.48m,0.70m,N/A,0.21m,06th Sep 11  ,N/A
150,The Incredibles,PS2,THQ  ,Heavy Iron Studios  ,N/A  ,5.9  ,N/A  ,N/A,2.37m,0.96m,1.08m,0.04m,0.30m,31st Oct 04  ,N/A
151,Uncharted: The Lost Legacy,PS4,Sony Interactive Entertainment  ,Naughty Dog  ,N/A  ,N/A  ,N/A  ,N/A,2.37m,0.58m,1.38m,0.04m,0.36m,22nd Aug 17  ,N/A
152,Lego Marvel Super Heroes,X360,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,2.34m,1.26m,0.87m,N/A,0.21m,22nd Oct 13  ,01st Dec 18
153,Assassin's Creed IV: Black Flag,XOne,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.3  ,N/A  ,N/A,2.32m,1.51m,0.59m,N/A,0.22m,22nd Nov 13  ,14th Mar 18
154,Grand Theft Auto,PS,Take-Two Interactive  ,DMA Design  ,N/A  ,6.0  ,N/A  ,N/A,2.32m,0.79m,1.35m,0.04m,0.14m,30th Jun 98  ,N/A
155,Mafia II,PC,2K Games  ,Illusion Softworks  ,N/A  ,7.6  ,N/A  ,2.31m,N/A,N/A,N/A,N/A,N/A,24th Aug 10  ,N/A
156,LEGO Star Wars: The Complete Saga,PS3,LucasArts  ,Traveller's Tales  ,N/A  ,8.0  ,N/A  ,N/A,2.31m,1.02m,0.93m,N/A,0.36m,06th Nov 07  ,N/A
157,Devil May Cry 3,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,2.30m,N/A,N/A,N/A,N/A,N/A,01st Mar 05  ,10th Oct 20
158,Resident Evil 4,PS2,Capcom  ,Capcom Production Studio 4  ,N/A  ,9.6  ,9.3  ,2.30m,N/A,N/A,N/A,N/A,N/A,25th Oct 05  ,N/A
159,Dead Island,PS3,Deep Silver  ,Techland  ,N/A  ,6.7  ,N/A  ,N/A,2.29m,1.08m,0.74m,0.15m,0.32m,06th Sep 11  ,N/A
160,Dynasty Warriors 4,PS2,KOEI  ,Omega Force  ,N/A  ,N/A  ,N/A  ,2.25m,N/A,N/A,N/A,N/A,N/A,25th Mar 03  ,N/A
161,Batman: Arkham Asylum,PC,Eidos Interactive  ,Rocksteady Studios  ,N/A  ,9.3  ,N/A  ,2.24m,N/A,N/A,N/A,N/A,N/A,15th Sep 09  ,N/A
162,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Ultra Games  ,Konami  ,N/A  ,N/A  ,N/A  ,N/A,2.23m,1.74m,0.25m,0.21m,0.03m,01st Dec 90  ,N/A
163,Star Wars: The Force Unleashed,PS3,LucasArts  ,LucasArts  ,N/A  ,6.8  ,N/A  ,N/A,2.22m,1.01m,0.86m,N/A,0.35m,16th Sep 08  ,N/A
164,Devil May Cry,PS2,Capcom  ,Capcom  ,N/A  ,9.1  ,9.3  ,2.16m,N/A,N/A,N/A,N/A,N/A,16th Oct 01  ,N/A
165,How to Survive 2,PC,Unknown  ,EKO Software  ,N/A  ,N/A  ,N/A  ,2.15m,N/A,N/A,N/A,N/A,N/A,N/A  ,02nd Feb 19
166,Finding Nemo,PS2,THQ  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,2.09m,1.26m,0.60m,0.05m,0.18m,09th May 03  ,N/A
167,Metal Gear Solid: Peace Walker,PSP,Konami  ,Kojima Productions  ,9.4  ,8.6  ,N/A  ,N/A,2.08m,0.46m,0.42m,0.96m,0.25m,08th Jun 10  ,N/A
168,The Incredibles,GBA,THQ  ,Helixe  ,N/A  ,5.4  ,N/A  ,N/A,2.06m,1.15m,0.77m,0.04m,0.10m,31st Oct 04  ,N/A
169,Hitman: Absolution,PS3,Square Enix  ,IO Interactive  ,N/A  ,N/A  ,N/A  ,N/A,2.06m,0.59m,1.08m,0.07m,0.32m,20th Nov 12  ,N/A
170,Toy Story 3: The Video Game,DS,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,N/A  ,N/A  ,N/A,2.06m,0.89m,0.95m,0.02m,0.21m,15th Jun 10  ,N/A
171,Tom Clancy's Splinter Cell: Conviction,X360,Ubisoft  ,Ubisoft Montreal  ,8.8  ,8.6  ,N/A  ,N/A,2.06m,1.20m,0.62m,0.04m,0.19m,13th Apr 10  ,N/A
