position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2530,Dead Space 2: Severed,XBL,Electronic Arts  ,Visceral Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 11  ,N/A
2531,Dead Space 2: Severed,PSN,Electronic Arts  ,Visceral Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Mar 11  ,N/A
2532,Dead Space Extraction,PSN,Electronic Arts  ,Visceral Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Jan 11  ,N/A
2533,Dead Storm Pirates,PSN,Namco Bandai  ,Namco Bandai Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Nov 10  ,N/A
2534,Dead to Rights,PC,Hip Interactive  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Nov 03  ,N/A
2535,Dead to Rights II,PC,Namco  ,WideScreen Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Aug 05  ,N/A
2536,Dead to Rights: Retribution - GAC Pack,XBL,Unknown  ,Volatile Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2537,Dead to Rights: Retribution - GAC Pack,PSN,Unknown  ,Volatile Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2538,Deadfall Adventures,PS3,Nordic Games  ,The Farm 51  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 14  ,29th Apr 19
2539,Death By Cube,XBL,Square Enix  ,Premium Agency  ,N/A  ,4.5  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Jan 10  ,N/A
