position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2366,Serf City: Life is Feudal,PC,SSI  ,Blue Byte Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
2367,Sexy Beach,PC,Illusion Soft  ,Illusion Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 03  ,N/A
2368,Sexy Beach 2,PC,Dreams  ,Illusion Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Jul 03  ,N/A
2369,Sexy Beach 3,PC,Dreams  ,Illusion Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Sep 06  ,N/A
2370,Sexy Beach Zero,PC,Illusion Soft  ,Illusion Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Oct 10  ,N/A
2371,Shattered Steel,PC,Interplay  ,BioWare Corp.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 96  ,N/A
2372,Shepherd's Crossing,PSN,Success  ,Success  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Jul 10  ,N/A
2373,Shepherd's Crossing,PS2,Valcon Games  ,Success  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Aug 08  ,N/A
2374,Shiki-Tei,PSN,Sony Computer Entertainment  ,Premium Agency  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jun 08  ,N/A
2375,Shinseiki Evangelion: Ayanami Ikusei Keikaku with Asuka Hokan Keikaku,PS2,Broccoli  ,Broccoli  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,11th Dec 03  ,N/A
2376,Ship Simulator 2006 Add-On,PC,Lighthouse Interactive  ,VSTEP  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Feb 07  ,N/A
2377,Ship Simulator 2006 Collector's Edition,PC,Lighthouse Interactive  ,VSTEP  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 06  ,N/A
2378,Ship Simulator 2008: New Horizons,PC,Lighthouse Interactive  ,VSTEP  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Apr 08  ,N/A
2379,Ship Simulator Extremes: Harbor Pilot,PC,Paradox Interactive   ,VSTEP  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Sep 11  ,N/A
2380,Ship Simulator Professional,PC,Unknown  ,VSTEP  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2381,Shockwave,PS,Electronic Arts Victor  ,Electronic Arts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jul 96  ,N/A
2382,Shockwave,3DO,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 94  ,N/A
2383,Shockwave 2: Beyond the Gate,3DO,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
