position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
125,Rogue Legacy,PC,Cellar Door Games  ,Unknown  ,N/A  ,N/A  ,N/A  ,1.48m,N/A,N/A,N/A,N/A,N/A,27th Jun 13  ,N/A
126,Disney Sing It: Pop Hits,Wii,Disney Interactive Studios  ,Zoe Mode  ,N/A  ,6.8  ,N/A  ,N/A,1.48m,1.07m,0.28m,N/A,0.12m,06th Oct 09  ,N/A
127,Minecraft,WiiU,Mojang  ,4J Studios  ,N/A  ,5.5  ,N/A  ,N/A,1.47m,0.50m,0.49m,0.38m,0.09m,17th Jun 16  ,05th Aug 18
128,Midway Arcade Treasures,PS2,Midway Games  ,Digital Eclipse  ,N/A  ,N/A  ,N/A  ,N/A,1.46m,0.72m,0.56m,N/A,0.19m,18th Nov 03  ,N/A
129,4 Nin uchi Mahjong,NES,Nintendo  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,1.45m,N/A,N/A,N/A,N/A,N/A,02nd Nov 84  ,N/A
130,Namco Museum 64,N64,Namco  ,Mass Media  ,N/A  ,N/A  ,N/A  ,N/A,1.45m,1.24m,0.17m,0.03m,0.01m,31st Oct 99  ,N/A
131,Sega Genesis Collection,PSP,Sega  ,Sega  ,N/A  ,8.3  ,N/A  ,N/A,1.45m,0.53m,0.58m,N/A,0.34m,16th Nov 06  ,N/A
132,SingStar Pop,PS2,Sony Computer Entertainment  ,SCEE London Studio  ,N/A  ,N/A  ,N/A  ,N/A,1.44m,0.04m,1.08m,N/A,0.32m,03rd Apr 07  ,N/A
133,My Word Coach,DS,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,1.44m,0.37m,0.90m,N/A,0.18m,06th Nov 07  ,N/A
134,Smarty Pants,Wii,Electronic Arts  ,EA Los Angeles  ,N/A  ,6.5  ,N/A  ,N/A,1.43m,0.52m,0.75m,N/A,0.16m,13th Nov 07  ,N/A
135,Hasbro Family Game Night,Wii,Electronic Arts  ,EA Bright Light  ,N/A  ,N/A  ,N/A  ,N/A,1.43m,0.96m,0.34m,N/A,0.13m,11th Nov 08  ,N/A
136,Nintendo Labo: Toy-Con 01 Variety Kit,NS,Nintendo  ,Nintendo EPD  ,N/A  ,7.7  ,N/A  ,1.42m,N/A,N/A,N/A,N/A,N/A,20th Apr 18  ,19th Nov 18
137,Rayman Raving Rabbids,Wii,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,7.5  ,N/A  ,N/A,1.42m,1.22m,0.07m,0.02m,0.11m,14th Nov 06  ,N/A
138,Hello Kitty Party,DS,Majesco  ,Barnstorm Games  ,N/A  ,N/A  ,N/A  ,N/A,1.41m,0.78m,0.51m,N/A,0.13m,23rd Nov 09  ,N/A
139,Spintires,PC,Unknown  ,Unknown  ,N/A  ,N/A  ,N/A  ,1.39m,N/A,N/A,N/A,N/A,N/A,12th Jun 14  ,N/A
140,A Collection of Activision Classic Games for the Atari 2600,PS,Activision  ,"Livesay Technologies, Inc.  ",N/A  ,3.8  ,N/A  ,N/A,1.37m,0.76m,0.52m,N/A,0.09m,23rd Sep 98  ,N/A
141,Pokémon Pinball: Ruby & Sapphire (Old all region sales),GBA,Nintendo  ,Jupiter Corporation  ,N/A  ,N/A  ,N/A  ,1.37m,N/A,N/A,N/A,N/A,N/A,26th Aug 03  ,04th Sep 18
142,SingStar Abba,PS2,Sony Computer Entertainment  ,SCEE London Studio  ,N/A  ,N/A  ,N/A  ,N/A,1.36m,0.23m,0.04m,N/A,1.09m,02nd Dec 08  ,N/A
143,Hasbro Family Game Night 2,Wii,Electronic Arts  ,EA Bright Light  ,5.0  ,6.4  ,N/A  ,N/A,1.36m,0.70m,0.52m,N/A,0.13m,27th Oct 09  ,N/A
144,SingStar Party,PS2,Sony Computer Entertainment  ,SCEE London Studio  ,N/A  ,N/A  ,N/A  ,N/A,1.35m,N/A,1.04m,N/A,0.31m,19th Nov 04  ,N/A
