position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
757,Bermuda Triangle: Saving the Coral,DS,Storm City Games  ,NorthPole Studio  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,0.01m,N/A,N/A,0.00m,02nd Feb 10  ,N/A
758,Rain Drops,DS,UFO Interactive  ,"CyberPlanet Interactive Public Co., Ltd.  ",N/A  ,N/A  ,N/A  ,N/A,0.01m,0.01m,N/A,N/A,0.00m,09th Sep 08  ,N/A
759,Capcom Puzzle World,PSP,Capcom  ,Capcom  ,N/A  ,7.4  ,N/A  ,N/A,0.01m,0.01m,0.00m,N/A,0.00m,06th Feb 07  ,N/A
760,Challenge Me: Word Puzzles,Wii,O-Games  ,O Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,0.00m,0.00m,N/A,0.00m,03rd May 11  ,N/A
761,Secret Mysteries in London,3DS,Unknown  ,Licensed 4U  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.01m,N/A,0.00m,25th Nov 11  ,N/A
762,Chainz Galaxy,PC,Mumbo Jumbo  ,MumboJumbo  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.01m,N/A,0.00m,12th Jan 11  ,N/A
763,Yosumin. DS,DS,Square Enix  ,Square Enix  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,08th Nov 07  ,N/A
764,Bermuda Triangle: Saving the Coral,Wii,Storm City Games  ,Storm City Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,0.01m,N/A,N/A,0.00m,17th Nov 09  ,N/A
765,Monster Frenzy,DS,Zoo Games  ,Bluestone Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,0.01m,N/A,N/A,0.00m,25th May 10  ,N/A
766,Puzzler Collection,PSP,Ubisoft  ,Route 1 Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.01m,N/A,0.00m,01st Aug 08  ,N/A
767,Photo Phantasy,DS,Zoo Games  ,Zoo Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,0.01m,N/A,N/A,0.00m,01st Feb 11  ,N/A
768,Tetris Ultimate,3DS,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.01m,N/A,0.00m,11th Nov 14  ,29th Jul 18
769,4 Play Collection: Treasure Hunters,PC,Avanquest Software  ,GSP  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.01m,N/A,0.00m,08th Aug 14  ,22nd Sep 18
770,Mean Girls,DS,505 Games  ,505 Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,0.01m,N/A,N/A,0.00m,31st Aug 10  ,N/A
771,Nintama Rantarou: Gakunen Taikousen Puzzle! no Dan,DS,Russel  ,Russel  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,02nd Sep 10  ,N/A
772,7 Wonders of the Ancient World,PC,Mumbo Jumbo  ,Hot Lava Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.01m,N/A,0.00m,02nd Feb 07  ,N/A
773,Neopets Puzzle Adventure,PC,Capcom  ,Infinite Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.00m,N/A,0.00m,01st Dec 08  ,N/A
774,th!nk Logic Trainer: Kids,DS,Conspiracy Entertainment  ,DTP Young Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,0.01m,N/A,N/A,0.00m,01st Dec 09  ,N/A
