position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
3295,Wolfchild,GEN,JVC  ,Core Design Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
3296,Wolverine: Adamantium Rage,SNES,LJN  ,Bits Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94  ,N/A
3297,Wolverine: Adamantium Rage,GEN,Acclaim Entertainment  ,Teeny Weeny Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 94  ,N/A
3298,Wonder Boy,MS,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 87  ,N/A
3299,Wonder Boy,VC,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Mar 08  ,N/A
3300,Wonder Boy in Monster Land (Arcade),VC,Sega  ,Westone Bit Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Jun 11  ,N/A
3301,Wonder Boy in Monster Land (Arcade),PSN,Unknown  ,Westone Bit Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
3302,Wonder Boy in Monster World,VC,Nintendo  ,Westone Bit Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Apr 07  ,N/A
3303,Wonder Boy in Monster World,GEN,Sega  ,Westone Bit Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92  ,N/A
3304,Wonder Boy in Monster World,MS,Sega  ,Westone Bit Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
3305,Wonder Boy in Monster World,PSN,Unknown  ,Westone Bit Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
