position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
289,Destroy All Humans! (2020),All,THQ Nordic  ,Black Forest Games  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,28th Jul 20  ,08th Jul 21
290,Don't Starve,Series,Klei Entertainment  ,Klei Entertainment  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,23rd Apr 13  ,23rd Mar 20
291,Dust: An Elysian Tail,All,Microsoft Studios  ,Humble Hearts  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,15th Aug 12  ,17th Aug 21
292,Ender Lilies: Quietus of the Knights,All,Binary Haze Interactive  ,Live Wire  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,22nd Jun 21  ,07th Mar 22
293,Harry Potter and the Prisoner of Azkaban,All,Electronic Arts  ,Electronic Arts  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,25th May 04  ,01st Mar 21
294,Hellblade,Series,Ninja Theory  ,Ninja Theory  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,08th Aug 17  ,05th Mar 20
295,Hellblade: Senua's Sacrifice,All,Ninja Theory  ,Ninja Theory  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,08th Aug 17  ,24th Jan 21
296,Hollow Knight,PC,Team Cherry  ,Team Cherry  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,24th Feb 17  ,03rd Feb 18
297,inFAMOUS: Second Son,PS4,Sony Computer Entertainment  ,Sucker Punch  ,8.2  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,21st Mar 14  ,02nd Nov 18
298,Judgment,All,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,25th Jun 19  ,16th Jun 21
299,Lara Croft and the Guardian of Light,All,Square Enix  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,18th Aug 10  ,26th Oct 20
300,Metal Gear Solid V: Ground Zeroes,All,Konami  ,Kojima Productions  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,18th Mar 14  ,28th Oct 20
301,One Piece: Pirate Warriors 3,All,Bandai Namco Entertainment  ,Omega Force  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,25th Aug 15  ,13th Nov 20
302,Risk of Rain 2,PC,Gearbox Publishing  ,Hopoo Games  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,28th Mar 19  ,03rd May 19
303,Saints Row IV,All,Deep Silver  ,Volition  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,20th Aug 13  ,06th Dec 20
304,Sakuna: Of Rice and Ruin,All,Xseed Games  ,Edelweiss  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 20  ,25th Nov 20
305,The Godfather,All,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,21st Mar 06  ,20th Apr 21
306,The Lord of the Rings: The Fellowship of the Ring,All,Black Label Games  ,WXP  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,24th Sep 02  ,30th Nov 20
307,Thief Simulator,NS,Forever Entertainment S.A.  ,Noble Muffins  ,N/A  ,N/A  ,N/A  ,1.00m,N/A,N/A,N/A,N/A,N/A,16th May 19  ,16th Jul 21
308,Tom Clancy's Splinter Cell: Blacklist,X360,Ubisoft  ,Ubisoft Toronto  ,7.0  ,8.4  ,N/A  ,N/A,1.00m,0.57m,0.33m,0.01m,0.09m,20th Aug 13  ,08th Mar 18
