position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
5169,World Soccer Winning Eleven 7 International,PC,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,9.1  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Apr 04  ,N/A
5170,World Soccer Winning Eleven 8 International,PC,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Feb 05  ,N/A
5171,World Sports Competition,VC,Hudson Soft  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Jun 07  ,N/A
5172,World Sports Competition,PCE,NEC  ,Hudson Soft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 93  ,N/A
5173,World Tour Soccer 06,PSN,Sony Computer Entertainment  ,SCEE London Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Jul 09  ,N/A
5174,World Trophy Soccer,GEN,Virgin Interactive  ,Game Arts  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 92  ,N/A
5175,Worldwide Boxing Manager,PC,DTP Entertainment  ,Proline Software GmbH  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Sep 07  ,N/A
5176,Worldwide Soccer,PC,Sega  ,Team Aquila  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 97  ,N/A
5177,Worms Crazy Golf,PSN,Team17 Software  ,Team17 Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Oct 11  ,N/A
5178,Wrestle War,GEN,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 91  ,N/A
5179,WSC REAL 08: World Snooker Championship,PS3,Koch Media  ,Blade Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Sep 08  ,N/A
5180,WSC REAL 08: World Snooker Championship,PS2,Koch Media  ,Blade Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Jul 08  ,N/A
5181,WSC REAL 08: World Snooker Championship,PSP,Koch Media  ,Blade Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Oct 08  ,N/A
5182,WSC Real 09: World Championship Snooker,PSP,Deep Silver  ,Blade Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,03rd Apr 09  ,N/A
