position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
3832,"Mortadelo y Filemón: Terror, Espanto y Pavor",PC,Unknown  ,"Zeta Multimedia, S.A.  ",N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
3833,Moshimo Ashita ga Hare Naraba,PC,Paretto  ,Paretto  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 06  ,N/A
3834,Moujuutsukai to Oujisama Twin Pack,PS2,Idea Factory  ,Idea Factory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Feb 11  ,N/A
3835,Mousou Gugenka AVG Dream Believer,PC,Touchable  ,Touchable  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Oct 11  ,N/A
3836,MTV's Beavis and Butt-Head: Virtual Aho Shoukougun,PS,B-Factory  ,Viacom New Media  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,29th Jan 98  ,N/A
3837,Mummy: Tomb of the Pharaoh,PC,Interplay  ,Amazing Media  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Aug 96  ,N/A
3838,Murder in the Abbey,PC,DreamCatcher Interactive  ,Alcachofa Soft  ,N/A  ,7.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Aug 08  ,N/A
3839,Muse: Together Is the New Alone,PSV,Pygmy Studio  ,Pygmy Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20  ,N/A
3840,Muse: Together Is the New Alone,PS4,Pygmy Studio  ,Pygmy Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20  ,N/A
3841,Musketeer: Le Sang des Chevaliers,PSP,Idea Factory  ,Otomate  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jul 11  ,N/A
3842,Musya,SNES,Seta Corporation  ,Jorudan  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Dec 92  ,N/A
3843,Muv-Luv Twin Pack,X360,5pb  ,5pb. Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Oct 11  ,N/A
3844,My Ex-Boyfriend the Space Tyrant,Linux,Up Multimedia  ,Up Multimedia  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Jul 14  ,N/A
3845,My Ex-Boyfriend the Space Tyrant,OSX,Up Multimedia  ,Up Multimedia  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Jul 14  ,N/A
3846,My Ex-Boyfriend the Space Tyrant,PC,Up Multimedia  ,Up Multimedia  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Jul 14  ,N/A
3847,My Merry May,DC,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Apr 02  ,N/A
3848,My Merry May,PS2,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Jan 03  ,N/A
3849,My Merry May be,PS2,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Apr 03  ,N/A
3850,My Merry May be,DC,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Jul 03  ,N/A
3851,My Merry May with be,PSP,CyberFront  ,CyberFront  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 10  ,N/A
3852,My Merry May with be,PS2,KID  ,KID Corporation  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Jun 05  ,N/A
3853,My Merry May with be,PSN,CyberFront  ,CyberFront  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Mar 11  ,N/A
3854,Myst,3DO,Sunsoft  ,Cyan Worlds  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
3855,Myst,AJ,Atari  ,Cyan Worlds  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
3856,Myst,PSN,Midway Games  ,Hoplite Research  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Jul 09  ,N/A
